symbol,name,sector,industry
CHCC,Cherat Cement Company Limited,,
CJPL,Crescent Jute Products Limited,,
CLOV,Clover Pakistan Limited,,
CLVL,Cordoba Logistics & Ventures Limited,,
CNERGY,Cnergyico PK Limited,,
COLG,Colgate-Palmolive (Pakistan) Limited,,
CPHL,Citi Pharma Limited,,
CPPL,Cherat Packaging Limited,,
CRTM,The Crescent Textile Mills Limited,,
CSAP,Crescent Steel and Allied Products Limited,,
CSIL,Crescent Star Insurance Limited,,
CTM,Colony Textile Mills Limited,,
DAAG,Data Agro Limited,,
DADX,Dadex Eternit Limited,,
DBCI,Dadabhoy Cement Industries Limited,,
DCL,Dewan Cement Limited,,
DCR,Dolmen City REIT,,
DEL,Dawood Equities Limited,,
DFML,Dewan Farooque Motors Limited,,
DFSM,Dewan Farooque Spinning Mills Limited,,
DGKC,D.G. Khan Cement Company Limited,,
DIIL,Diamond Industries Limited,,
DINT,Din Textile Mills Limited,,
DLL,Dawood Lawrencepur Limited,,
DMC,D.M. Corporation Limited,,
DMTM,Dewan Mushtaq Textile Mills Limited,,
DNCC,Dandot Cement Company Limited,,
DOL,Descon Oxychem Limited,,
DSIL,D.S. Industries Limited,,
DSL,Dost Steels Limited,,
DWAE,Dewan Automotive Engineering Limited,,
DWSM,Dewan Sugar Mills Limited,,
DWTM,Dewan Textile Mills Limited,,
DYNO,Dynea Pakistan Limited,,
ECOP,EcoPack Limited,,
EFERT,Engro Fertilizers Limited,,
EFUG,EFU General Insurance Limited,,
EFUL,EFU Life Assurance Limited,,
ELCM,Elahi Cotton Mills Limited,,
ELSM,Ellcot Spinning Mills Limited,,
EMCO,EMCO Industries Limited,,
ENGROH,Engro Holding Limited,,
EPCL,Engro Polymer and Chemicals Limited,,
EPQL,Engro Powergen Qadirpur Limited,,
ESBL,Escorts Investment Bank Limited,,
EWIC,East West Insurance Company Limited,,
EXIDE,Exide Pakistan Limited,,
FABL,Faysal Bank Limited,,
FANM,First Al-Noor Modaraba,,
FASM,Faisal Spinning Mills Limited,,
FATIMA,Fatima Fertilizer Company Limited,,
FCCL,Fauji Cement Company Limited,,
FCEL,First Capital Equities Limited,,
FCEPL,FrieslandCampina Engro Pakistan Limited,,
FCIBL,First Credit and Investment Bank Limited,,
FCL,Fast Cables Limited,,
FCSC,First Capital Securities Corporation Limited,,
FDPL,First Dawood Properties Limited,,
FECM,First Elite Capital Modaraba,,
FECTC,Fecto Cement Limited,,
FEROZ,Ferozsons Laboratories Limited,,
FFC,Fauji Fertilizer Company Limited,,
FFL,Fauji Foods Limited,,
FFLM,First Fidelity Leasing Modaraba,,
FHAM,First Habib Modaraba,,
FIBLM,First IBL Modaraba,,
FIL,Fateh Industries Ltd,,
FIMM,First Imrooz Modaraba,,
FLYNG,Flying Cement Company Limited,,
FML,Feroze1888 Mills Limited,,
FNEL,First National Equities Limited,,
FPJM,First Punjab Modaraba,,
FPRM,First Paramount Modaraba,,
FRCL,Frontier Ceramics Limited,,
FRSM,Faran Sugar Mills Limited,,
FSWL,Fateh Sports Wear Limited,,
FTMM,First Treet Manufacturing Modaraba,,
FTSM,First Tri-Star Modaraba,,
FZCM,Fazal Cloth Mills Limited,,
GADT,Gadoon Textile Mills Limited,,
GAL,Ghandhara Automobiles Limited,,
GAMON,Gammon Pakistan Limited,,
GATI,Gatron (Industries) Limited,,
GATM,Gul Ahmed Textile Mills Limited,,
GCIL,Ghani Chemical Industries Limited,,
GCWL,Ghani ChemWorld Limited,,
GDL,Ghani Dairies Limited,,
GEMBCEM,Burj Investment Management (Private) Limited,,
GEMMEL,Mughal Energy Limited,,
GEMNETS,Nets International Communication Limited,,
GEMPACRA,The Pakistan Credit Rating Agency Limited,,
GEMPAPL,Pak Agro Packaging Limited,,
GFIL,Ghazi Fabrics International Limited,,
GGGL,Ghani Global Glass Limited,,
GGL,Ghani Global Holdings Limited,,
GHGL,Ghani Glass Limited,,
GHNI,Ghandhara Industries Limited,,
GIL,Goodluck Industries Limited,,
GLAXO,GlaxoSmithKline Pakistan Limited,,
GOC,GOC (Pak) Limited,,
GRR,Globe Residency REIT,,
GRYL,Grays Leasing Limited,,
GSPM,Gulshan Spinning Mills Limited,,
GTYR,Ghandhara Tyre and Rubber Company Limited,,
GUSM,Gulistan Spinning Mills Limited,,
GVGL,Ghani Value Glass Limited,,
GWLC,Gharibwal Cement Limited,,
HABSM,Habib Sugar Mills Limited,,
HAEL,Hala Enterprises Limited,,
HAFL,Hafiz Limited,,
HALEON,Haleon Pakistan Limited,,
HASCOL,Hascol Petroleum Limited,,
HBL,Habib Bank Limited,,
HCAR,Honda Atlas Cars (Pakistan) Limited,,
HICL,Habib Insurance Company Limited,,
HINO,Hinopak Motors Limited,,
HINOON,Highnoon Laboratories Limited,,
HIRAT,Hira Textile Mills Limited,,
HMB,Habib Metropolitan Bank Limited,,
HPL,Hoechst Pakistan Limited,,
HRPL,Habib Rice Products Limited,,
HSPI,Huffaz Seamless Pipe Industries Limited,,
HTL,Hi-Tech Lubricants Limited,,
HUBC,The Hub Power Company Limited,,
HUMNL,Hum Network Limited,,
HUSI,Husein Industries Limited,,
HWQS,Haseeb Waqas Sugar Mills Limited,,
IBFL,Ibrahim Fibres Limited,,
IBLHL,IBL HealthCare Limited,,
ICCI,ICC Industries Limited,,
ICIBL,Invest Capital Investment Bank Limited,,
ICL,Ittehad Chemicals Limited,,
IDEAL,Ideal Dynamics Limited,,
IDRT,Idrees Textile Mills Limited,,
IDYM,Indus Dyeing & Manufacturing Company Limited,,
IGIHL,IGI Holdings Limited,,
IGIL,IGI Life Insurance Limited,,
ILP,Interloop Limited,,
IMAGE,Image Pakistan Limited,,
IML,Imperial Limited,,
IMS,Intermarket Securities Limited,,
INDU,Indus Motor Company Limited,,
INIL,International Industries Limited,,
INKL,International Knitwear Limited,,
IPAK,International Packaging Films Limited,,
IREIT,Image REIT,,
ISIL,Ismail Industries Limited,,
ISL,International Steels Limited,,
ITTEFAQ,Ittefaq Iron Industries Limited,,
JATM,J. A. Textile Mills Limited,,
JDMT,Janana De Malucho Textile Mills Limited,,
JDWS,JDW Sugar Mills Limited,,
JGICL,Jubilee General Insurance Company Limited,,
JKSM,J.K. Spinning Mills Limited,,
JLICL,Jubilee Life Insurance Company Limited,,
JSBL,JS Bank Limited,,
JSCL,Jahangir Siddiqui & Co. Ltd.,,
JSGCL,JS Global Capital Limited,,
JSIL,JS Investments Limited,,
JSML,Jauharabad Sugar Mills Limited,,
JSRR,JS Rental REIT,,
JUBS,Jubilee Spinning & Weaving Mills Limited,,
JVDC,Javedan Corporation Limited,,
KAPCO,Kot Addu Power Company Limited,,
KCL,Karam Ceramics Limited,,
KEL,K-Electric Limited,,
KHTC,Khyber Tobacco Company Limited,,
KHYT,Khyber Textile Mills Limited,,
KML,Kohinoor Mills Limited,,
KOHC,Kohat Cement Company Limited,,
KOHE,Kohinoor Energy Limited,,
KOHP,Kohinoor Power Company Limited,,
KOHTM,Kohat Textile Mills Limited,,
KOIL,Kohinoor Industries Limited,,
KOSM,Kohinoor Spinning Mills Limited,,
KPUS,Khairpur Sugar Mills Limited,,
KSBP,KSB Pumps Company Limited,,
KSTM,Khalid Siraj Textile Mills Limited,,
KTML,Kohinoor Textile Mills Limited,,
LCI,Lucky Core Industries Limited,,
LEUL,Leather Up Limited,,
LIVEN,Liven Pharma Limited,,
LOADS,Loads Limited,,
LOTCHEM,Lotte Chemical Pakistan Limited,,
LPGL,Leiner Pak Gelatine Limited,,
LPL,Lalpir Limited,,
LSECL,LSE Capital Limited,,
LSEFSL,LSE Financial Services Ltd.,,
LSEVL,LSE Ventures Limited,,
LUCK,Lucky Cement Limited,,
MACFL,Macpac Films Limited,,
MACTER,Macter International Limited,,
MARI,Mari Energies Limited,,
MCB,MCB Bank Limited,,
MCBIM,MCB investment management Limited,,
MDTL,Media Times Limited,,
MEBL,Meezan Bank Limited,,
MEHT,Mahmood Textile Mills Limited,,
MERIT,Merit Packaging Limited,,
MFFL,Mitchell's Fruit Farms Limited,,
MFL,Matco Foods Limited,,
MIRKS,Mirpurkhas Sugar Mills Limited,,
MLCF,Maple Leaf Cement Factory Limited,,
MQTM,Maqbool Textile Mills Limited,,
MRNS,Mehran Sugar Mills Limited,,
MSCL,Metropolitan Steel Corporation Limited,,
MSOT,Masood Textile Mills Limited,,
MTL,Millat Tractors Limited,,
MUGHAL,Mughal Iron & Steel Industries Limited,,
MUGHALC,Mughal Iron & Steel Industries Limited,,
MUREB,Murree Brewery Company Limited,,
MWMP,Mandviwalla Mauser Plastic Industries Limited,,
NAGC,Nagina Cotton Mills Limited,,
NATF,National Foods Limited,,
NATM,Nadeem Textile Mills Limited,,
NBP,National Bank of Pakistan,,
NCL,Nishat (Chunian) Limited,,
NCML,Nazir Cotton Mills Limited,,
NCPL,Nishat Chunian Power Limited,,
NESTLE,Nestlé Pakistan Limited,,
NETSOL,Netsol Technologies Limited,,
NEXT,Next Capital Limited,,
NICL,Nimir Industrial Chemicals Limited,,
NML,Nishat Mills Limited,,
NONS,Noon Sugar Mills Limited,,
NPL,Nishat Power Limited,,
NRL,National Refinery Limited,,
NRSL,Nimir Resins Limited,,
NSRM,The National Silk & Rayon Mills Ltd.,,
OBOY,Oilboy Energy Limited,,
OCTOPUS,Octopus Digital Limited,,
OGDC,Oil and Gas Development Company Limited,,
OLPL,OLP Financial Services Pakistan Limited,,
OLPM,OLP Modaraba,,
OML,Olympia Mills Limited,,
ORM,Orient Rental Modaraba,,
OTSU,Otsuka Pakistan Limited,,
PABC,Pakistan Aluminium Beverage Cans Limited,,
PACE,Pace (Pakistan) Limited,,
PAEL,Pak Elektron Limited,,
PAKD,Pak Datacom Limited,,
PAKL,Pak Leather Crafts Limited,,
PAKOXY,Pakistan Oxygen Limited,,
PAKQATAR,Pak-Qatar Family Takaful Limited,,
PAKRI,Pakistan Reinsurance Company Limited,,
PAKT,Pakistan Tobacco Company Limited,,
PASL,Pervez Ahmed Consultancy Services Limited,,
PASM,Paramount Spinning Mills Limited,,
PCAL,Pakistan Cables Limited,,
PECO,Pakistan Engineering Company Limited,,
PGLC,Pak-Gulf Leasing Company Limited,,
PHDL,Pakistan Hotels Developers Limited,,
PIAHCLA,PIA Holding Company Limited,,
PIAHCLB,PIA Holding Company Limited,,
PIBTL,Pakistan International Bulk Terminal Limited,,
PICT,Pakistan International Container Terminal Limited,,
PIL,PICIC Insurance Limited,,
PIM,Popular Islamic Modaraba,,
PINL,Premier Insurance Limited,,
PIOC,Pioneer Cement Limited,,
PKGI,The Pakistan General Insurance Company Limited,,
PKGP,Pakgen Limited,,
PKGS,Packages Limited,,
PMRS,The Premier Sugar Mills & Distillery Company Limited,,
PNSC,Pakistan National Shipping Corporation,,
POL,Pakistan Oilfields Limited,,
POML,Punjab Oil Mills Limited,,
POWER,Power Cement Limited,,
PPL,Pakistan Petroleum Limited,,
PPP,Pakistan Paper Products Limited,,
PPVC,Pakistan PVC Limited,,
PQGTL,Pak-Qatar General Takaful Limited,,
PREMA,At-Tahur Limited,,
PRET,Premium Textile Mills Limited,,
PRL,Pakistan Refinery Limited,,
PRWM,Prosperity Weaving Mills Limited,,
PSEL,Pakistan Services Limited,,
PSO,Pakistan State Oil Company Limited,,
PSX,Pakistan Stock Exchange Limited,,
PSYL,Pakistan Synthetics Limited,,
PTC,Pakistan Telecommunication Company Limited,,
PTL,Panther Tyres Limited,,
QTECH,Quantum Data Technologies Limited,,
QUET,Quetta Textile Mills Limited,,
QUICE,Quice Food Industries Limited,,
REDCO,Redco Textiles Limited,,
REWM,Reliance Weaving Mills Limited,,
RICL,Reliance Insurance Company Limited,,
RMPL,Rafhan Maize Products Co. Limited,,
RPL,Roshan Packages Limited,,
RUBY,Ruby Textile Mills Limited,,
RUPL,Rupali Polyester Limited,,
SAIF,Saif Textile Mills Limited,,
SANE,Salman Noman Enterprises Limited,,
SANSM,Sanghar Sugar Mills Limited,,
SAPT,Sapphire Textile Mills Limited,,
SARC,Sardar Chemical Industries Limited,,
SASML,Sindh Abadgar's Sugar Mills Limited,,
SAZEW,Sazgar Engineering Works Limited,,
SBL,Samba Bank Limited,,
SCBPL,Standard Chartered Bank (Pakistan) Limited,,
SEARL,The Searle Company Limited,,
SEL,Sitara Energy Limited,,
SELECT,Select Technologies Limited,,
SEPL,Security Papers Limited,,
SERT,Service Industries Textiles Limited,,
SFL,Sapphire Fibres Limited,,
SGABL,SG Allied Businesses Limited,,
SGF,Service Global Footwear Limited,,
SGPL,S.G. Power Limited,,
SHCM,Shadman Cotton Mills Limited,,
SHDT,Shadab Textile Mills Limited,,
SHEZ,Shezan International Limited,,
SHFA,Shifa International Hospitals Limited,,
SHJS,Shahtaj Sugar Mills Limited,,
SHNI,Shaheen Insurance Company Limited,,
SHSML,Shahmurad Sugar Mills Limited,,
SIBL,Security Investment Bank Limited,,
SIEM,Siemens (Pakistan) Engineering Co. Ltd.,,
SINDM,Sindh Modaraba,,
SITC,Sitara Chemical Industries Limited,,
SKRS,Sakrand Sugar Mills Limited,,
SLGL,Secure Logistics - Trax Group Limited,,
SLL,SME Leasing Limited,,
SLM,Service Long March Tyres Limited,,
SLYT,Sally Textile Mills Limited,,
SMCPL,Safe Mix Concrete Limited,,
SML,Shakarganj Limited,,
SNAI,Sana Industries Limited,,
SNBL,Soneri Bank Limited,,
SNGP,Sui Northern Gas Pipelines Limited,,
SPAC1,LSE SPAC-I Limited,,
SPAC2,LSE SPAC-II Limited,,
SPCL,Saudi Pak Consultancy Company Limited,,
SPEL,SPEL Limited,,
SPL,Sitara Peroxide Limited,,
SPSL,Sitara Petroleum Service Limited,,
SPWL,Saif Power Limited,,
SRVI,Service Industries Limited,,
SSGC,Sui Southern Gas Company Limited,,
SSML,Saritow Spinning Mills Limited,,
SSOM,S.S. Oil Mills Limited,,
STCL,Shabbir Tiles and Ceramics Limited,,
STJT,Shahtaj Textile Limited,,
STL,Supernet Technologies Limited,,
STML,Shams Textile Mills Limited,,
STPL,Siddiqsons Tin Plate Limited,,
STYLERS,Stylers International Limited,,
SUHJ,Suhail Jute Mills Limited,,
SURC,Suraj Cotton Mills Limited,,
SUTM,Sunrays Textile Mills Limited,,
SYM,Symmetry Group Limited,,
SYS,Systems Limited,,
SZTM,Shahzad Textile Mills Limited,,
TATM,Tata Textile Mills Limited,,
TBL,Treet Battery Limited,,
TCORP,Tariq Corporation Limited,,
TELE,Telecard Limited,,
TGL,Tariq Glass Industries Limited,,
THALL,Thal Limited,,
THCCL,Thatta Cement Company Limited,,
TICL,The Thal Industries Corporation Limited,,
TOMCL,The Organic Meat Company Limited,,
TOWL,Towellers Limited,,
TPL,TPL Corp Limited,,
TPLI,TPL Insurance Limited,,
TPLL,TPL Life Insurance Limited,,
TPLP,TPL Properties Limited,,
TPLT,TPL Trakker Limited,,
TREET,Treet Corporation Limited,,
TRG,TRG Pakistan Limited,,
TRIPF,Tri-Pack Films Limited,,
TRSM,Trust Modaraba,,
TSBL,Trust Securities & Brokerage Limited,,
TSML,Tandlianwala Sugar Mills Limited,,
TSPL,Tri-Star Power Limited,,
UBDL,United Brands Limited,,
UBL,United Bank Limited,,
UCAPM,Unicap Modaraba,,
UDLI,UDL International Limited,,
UDPL,United Distributors Pakistan Limited,,
UNIC,The United Insurance Company of Pakistan Limited,,
UNITY,Unity Foods Limited,,
UPFL,Unilever Pakistan Foods Limited,,
UVIC,The Universal Insurance Company Limited,,
WAFI,Wafi Energy Pakistan Limited,,
WAHDAT,Wahdat Poultry Farm Limited,,
WAHN,Wah Nobel Chemicals Limited,,
WASL,Wasl Mobility Modaraba,,
WAVES,Waves Corporation Limited,,
WAVESAPP,Waves Home Appliances Limited,,
WTL,WorldCall Telecom Limited,,
YOUW,Yousaf Weaving Mills Limited,,
ZAHID,Zahidjee Textile Mills Limited,,
ZAL,Zarea Limited,,
ZIL,ZIL Limited,,
ZTL,Zephyr Textiles Limited,,
ZUMA,Zuma Resources Limited,,
